@RELATION nfl

@ATTRIBUTE Year real
@ATTRIBUTE Week real
@ATTRIBUTE homeTotalYds real
@ATTRIBUTE homePassYds real
@ATTRIBUTE homeRushYds real
@ATTRIBUTE homeFirstDowns real
@ATTRIBUTE homeTurnovers real
@ATTRIBUTE homePunts real
@ATTRIBUTE homePosTime real
@ATTRIBUTE awayTotalYds real
@ATTRIBUTE awayPassYds real
@ATTRIBUTE awayRushYds real
@ATTRIBUTE awayFirstDowns real
@ATTRIBUTE awayTurnovers real
@ATTRIBUTE awayPunts real
@ATTRIBUTE awayPosTime real
@ATTRIBUTE class {H,A}

@Data
2009,6,492,326,166,33,3,4,2532,262,207,55,13,1,6,1488,H
2009,6,426,259,167,19,0,5,2083,448,367,81,20,0,7,1517,H
2009,6,493,360,133,28,0,4,2167,325,241,84,17,2,4,1433,H
2009,6,543,403,140,28,4,2,2206,197,106,91,12,4,5,1394,H
2009,6,245,121,124,12,2,4,1659,322,55,267,22,3,3,1941,A
2009,6,265,147,118,7,2,8,1370,268,158,110,16,0,7,2230,A
2009,6,325,209,116,18,2,7,1982,283,216,67,14,0,8,1618,H
2009,6,128,114,14,7,2,8,1030,344,282,62,21,2,6,2570,A
2009,6,619,426,193,32,0,1,2340,186,-7,193,9,5,6,1260,H
2009,6,414,96,318,15,6,5,1993,296,154,142,20,2,8,2343,A
2009,6,253,185,68,16,2,5,1566,373,290,83,21,3,4,2034,H
2009,6,311,238,73,20,1,3,1757,328,227,101,19,0,4,1843,A
2009,7,448,233,215,30,0,1,2182,279,244,35,15,4,3,1418,H
2009,7,139,81,58,12,2,4,1446,460,258,202,25,0,2,2154,A
2009,7,336,246,90,18,1,5,1829,297,238,59,17,2,5,1771,H
2009,7,203,82,121,10,3,6,1635,403,268,135,17,0,4,1965,A
2009,7,259,153,106,14,1,6,1382,386,297,89,21,2,6,2218,H
2009,7,272,117,155,14,2,5,1761,391,235,156,24,0,4,1839,A
2009,7,240,151,89,10,3,9,1605,414,307,107,18,2,6,1995,A
2009,7,425,309,116,20,4,6,2080,167,114,53,9,0,8,1520,A
2009,7,263,144,119,13,4,5,1443,447,131,316,26,0,3,2157,A
2009,7,414,299,115,18,1,3,1732,298,174,124,21,3,5,1868,H
2009,7,334,197,137,17,3,6,1618,414,276,138,22,4,3,1982,A
2009,7,327,220,107,15,4,7,1816,288,216,72,15,2,8,1784,A
2009,7,308,246,62,21,4,7,1903,262,140,122,11,0,8,1697,A
2009,8,292,167,125,16,0,4,2017,200,134,66,17,1,8,1583,H
2009,8,204,107,97,9,2,6,1252,439,253,186,24,3,1,2348,A
2009,8,369,199,170,20,1,5,2245,191,74,117,9,5,6,1355,H
2009,8,362,249,113,26,1,4,2085,308,229,79,18,2,6,1515,H
2009,8,289,162,127,17,1,7,1923,362,212,150,21,1,5,1677,A
2009,8,351,261,90,21,0,5,1952,355,244,111,19,2,3,1648,A
2009,8,410,349,61,20,0,7,2014,295,182,113,16,2,8,1586,H
2009,8,378,251,127,23,1,7,2046,104,52,52,10,1,7,1554,A
2009,8,346,246,100,20,2,3,1829,180,81,99,13,1,4,1771,H
2009,8,430,125,305,20,0,4,2383,330,113,217,12,2,7,1217,H
2009,8,320,226,94,23,6,4,1622,355,85,270,13,0,6,1978,A
2009,8,391,211,180,17,2,3,1467,356,215,141,21,3,3,2133,H
2009,8,437,291,146,23,4,2,1994,442,281,161,21,3,3,1606,H
2009,9,306,125,181,18,1,3,1588,312,176,136,17,1,3,2012,H
2009,9,417,347,70,20,1,4,1604,438,256,182,27,1,4,1996,A
2009,9,369,223,146,20,1,5,2400,215,160,55,16,2,5,1200,H
2009,9,378,306,72,27,2,3,1527,382,301,81,22,3,4,2073,H
2009,9,426,253,173,21,1,4,2173,301,241,60,14,0,7,1427,H
2009,9,432,323,109,22,1,3,1733,334,201,133,21,0,5,1867,H
2009,9,279,198,81,17,1,7,1483,404,234,170,20,3,7,2117,H
2009,9,414,330,84,18,2,3,1654,371,189,182,21,3,3,1946,H
2009,9,397,342,55,25,2,3,1842,300,186,114,17,5,2,1758,H
2009,9,304,188,116,19,1,5,2267,226,192,34,18,2,5,1333,A
2009,9,358,250,108,25,4,3,2030,315,163,152,14,0,5,1570,A
2009,9,297,208,89,17,2,3,1696,358,282,76,18,1,5,1904,A
2009,9,242,215,27,12,3,7,1617,375,202,173,21,2,5,1983,A
2009,10,216,106,110,12,1,5,1893,350,307,43,19,5,4,1707,H
2009,10,380,195,185,19,0,4,1689,400,224,176,22,2,2,1911,H
2009,10,374,175,199,23,2,6,1874,302,180,122,16,2,5,1726,H
2009,10,492,340,152,19,2,4,1823,297,204,93,19,1,7,1777,H
2009,10,322,212,110,19,3,2,1733,347,208,139,18,1,4,1867,A
2009,10,226,146,80,16,1,5,1852,218,157,61,14,0,4,1748,A
2009,10,434,293,141,23,1,4,1922,420,217,203,19,3,3,1678,A
2009,10,378,210,168,20,1,3,1880,296,207,89,14,2,5,1720,H
2009,10,388,214,174,22,0,4,2143,305,185,120,14,2,4,1457,H
2009,10,272,90,182,11,2,11,1866,318,206,112,14,3,6,1734,A
2009,10,462,340,122,22,0,7,1890,472,308,164,29,2,7,1710,H
2009,10,283,178,105,20,0,7,2158,278,217,61,17,3,6,1442,H
2009,10,331,212,119,22,0,4,1823,462,433,29,26,1,4,1777,H
2009,10,407,316,91,25,2,7,1498,477,364,113,24,2,4,2102,H
2009,10,160,74,86,11,2,9,1708,274,140,134,14,0,7,1892,A
2009,11,383,201,182,22,1,5,1767,326,172,154,17,0,6,1833,A
2009,11,354,256,98,20,2,2,1956,375,299,76,20,3,3,1644,A
2009,11,305,152,153,17,2,6,1886,324,246,78,14,1,5,1714,H
2009,11,473,416,57,26,2,3,1514,439,308,131,22,0,6,2086,H
2009,11,484,326,158,26,0,5,2499,284,215,69,11,1,5,1101,H
2009,11,310,208,102,19,2,5,2184,343,290,53,14,3,4,1416,H
2009,11,282,214,68,13,1,6,1345,515,401,114,27,3,6,2647,H
2009,11,431,271,160,28,0,5,2531,212,208,4,10,2,7,1069,H
2009,11,456,368,88,26,1,3,1926,352,262,90,27,1,2,1908,H
2009,11,219,100,119,14,4,5,1656,370,187,183,21,0,4,1944,A
2009,11,314,191,123,16,1,4,1702,444,261,183,24,2,5,1898,A
2009,11,271,156,115,14,3,3,1328,348,145,203,21,0,3,2272,A
2009,11,410,299,111,27,1,6,2394,226,122,104,12,5,5,1206,H
2009,11,275,183,92,16,3,4,1296,348,171,177,23,4,4,2304,H
2009,11,284,158,126,14,1,6,1743,377,220,157,18,3,5,1857,A
2009,11,340,283,57,17,0,5,1661,344,116,228,22,1,4,1939,A
2009,12,272,199,73,16,5,3,1561,422,342,80,20,2,3,2039,A
2009,12,494,299,195,18,0,6,1874,305,181,124,14,1,9,1726,H
2009,12,373,235,138,23,1,3,2130,267,210,57,15,3,5,1470,H
2009,12,297,222,75,21,1,5,1896,318,245,73,13,1,6,1704,H
2009,12,336,207,129,20,1,3,1694,325,168,157,23,4,5,1906,H
2009,12,306,96,210,21,0,6,2291,169,111,58,11,0,8,1309,H
2009,12,396,274,122,27,3,2,1912,342,228,114,28,2,2,1688,A
2009,12,537,378,159,31,1,2,2455,169,126,43,8,3,5,1145,H
2009,12,283,144,139,16,3,5,1998,179,104,75,11,4,5,1602,H
2009,12,381,258,123,17,1,5,1818,303,221,82,15,2,5,1782,H
2009,12,364,251,113,23,2,5,2012,265,95,170,15,1,5,1588,A
2009,12,532,369,163,20,1,4,1867,292,217,75,15,0,6,1733,H
2009,12,426,332,94,26,1,3,2120,284,170,114,16,4,4,1480,H
2009,12,284,232,52,15,0,5,1840,357,261,96,18,2,4,1760,H
2009,12,393,261,132,21,2,6,1942,298,145,153,16,1,8,2156,H
2009,12,480,367,113,18,1,3,1604,366,244,122,23,3,3,1996,H
2009,13,194,71,123,10,2,7,1490,331,82,249,17,0,7,2110,A
2009,13,295,234,61,22,3,6,1849,380,277,103,20,0,3,1751,A
2009,13,309,152,157,15,2,5,1736,469,315,154,22,5,2,1864,H
2009,13,248,128,120,14,1,7,1680,233,98,135,14,2,7,1920,H
2009,13,321,202,119,22,3,4,2328,245,165,80,14,2,6,1272,H
2009,13,358,270,88,23,0,3,1621,375,233,142,24,2,2,1979,H
2009,13,323,216,107,19,1,3,1807,301,233,68,19,3,5,1793,H
2009,13,222,128,94,14,3,7,1445,413,168,245,24,3,3,2155,A
2009,13,401,269,132,19,1,3,1631,396,287,109,19,0,6,1969,A
2009,13,455,367,88,28,4,1,1883,463,408,55,25,1,3,2106,A
2009,13,372,257,115,24,1,3,1837,477,386,91,21,0,1,1763,A
2009,13,398,285,113,20,1,3,1723,315,253,62,22,2,6,1877,H
2009,13,337,237,100,15,2,5,1270,424,379,45,27,1,5,2330,H
2009,13,292,185,107,17,1,10,1871,356,303,53,14,2,9,1729,H
2009,13,416,328,88,24,1,4,1957,448,352,96,18,2,5,1643,H
2009,13,350,256,94,25,3,3,2122,185,119,66,17,4,5,1478,H
2009,14,255,84,171,12,0,8,1755,216,141,75,16,0,8,1845,H
2009,14,392,303,89,19,1,1,1396,391,296,95,24,0,1,2204,A
2009,14,548,240,308,24,1,2,1785,229,126,103,13,2,5,1815,H
2009,14,254,195,59,14,2,6,1728,315,169,146,16,2,4,1872,A
2009,14,450,365,85,23,2,4,2016,282,220,62,13,1,7,1584,H
2009,14,312,220,92,21,3,5,1713,357,262,95,20,1,4,1887,H
2009,14,217,122,95,10,0,7,1494,354,208,146,22,3,5,2106,A
2009,14,354,202,152,16,4,5,1766,273,73,200,13,3,4,1834,A
2009,14,322,180,142,21,1,3,1935,210,91,119,13,1,7,1665,H
2009,14,377,192,185,26,3,3,2055,305,179,126,14,0,7,1545,H
