@RELATION nflpredictor

@ATTRIBUTE homeTotalYdsLast3 real
@ATTRIBUTE homeTotalYdsSeason real
@ATTRIBUTE homePassYdsLast3 real
@ATTRIBUTE homePassYdsSeason real
@ATTRIBUTE homeRushYdsLast3 real
@ATTRIBUTE homeRushYdsSeason real
@ATTRIBUTE homeFirstDownsLast3 real
@ATTRIBUTE homeFirstDownsSeaon real
@ATTRIBUTE homeTurnoversLast3 real
@ATTRIBUTE homeTurnoversSeason real
@ATTRIBUTE homePuntsLast3 real
@ATTRIBUTE homePuntsSeason real
@ATTRIBUTE awayTotalYdsLast3 real
@ATTRIBUTE awayTotalYdsSeason real
@ATTRIBUTE awayPassYdsLast3 real
@ATTRIBUTE awayPassYdsSeason real
@ATTRIBUTE awayRushYdsLast3 real
@ATTRIBUTE awayRushYdsSeason real
@ATTRIBUTE awayFirstDownsLast3 real
@ATTRIBUTE awayFirstDownsSeason real
@ATTRIBUTE awayTurnoversLast3 real
@ATTRIBUTE awayTurnoversSeason real
@ATTRIBUTE awayPuntsLast3 real
@ATTRIBUTE awayPuntsSeason real
@ATTRIBUTE winner {H,A}

@Data
313.0, 313.0, 194.5, 194.5, 118.5, 118.5, 17.5, 17.5, 2.0, 2.0, 5.5, 5.5, 332.5, 332.5, 262.0, 262.0, 70.5, 70.5, 20.0, 20.0, 2.5, 2.5, 5.0, 5.0, H
332.5, 332.5, 262.0, 262.0, 70.5, 70.5, 20.0, 20.0, 2.5, 2.5, 5.0, 5.0, 313.0, 313.0, 194.5, 194.5, 118.5, 118.5, 17.5, 17.5, 2.0, 2.0, 5.5, 5.5, A
248.0, 248.0, 167.0, 167.0, 81.0, 81.0, 15.5, 15.5, 3.0, 3.0, 4.5, 4.5, 317.0, 317.0, 212.0, 212.0, 105.0, 105.0, 18.0, 18.0, 1.5, 1.5, 3.5, 3.5, H
317.0, 317.0, 212.0, 212.0, 105.0, 105.0, 18.0, 18.0, 1.5, 1.5, 3.5, 3.5, 248.0, 248.0, 167.0, 167.0, 81.0, 81.0, 15.5, 15.5, 3.0, 3.0, 4.5, 4.5, A
301.5, 301.5, 251.0, 251.0, 50.5, 50.5, 15.0, 15.0, 1.0, 1.0, 6.0, 6.0, 300.0, 300.0, 197.0, 197.0, 103.0, 103.0, 15.0, 15.0, 1.5, 1.5, 4.5, 4.5, A
300.0, 300.0, 197.0, 197.0, 103.0, 103.0, 15.0, 15.0, 1.5, 1.5, 4.5, 4.5, 301.5, 301.5, 251.0, 251.0, 50.5, 50.5, 15.0, 15.0, 1.0, 1.0, 6.0, 6.0, H
287.5, 287.5, 119.0, 119.0, 168.5, 168.5, 18.5, 18.5, 0.5, 0.5, 5.0, 5.0, 291.0, 291.0, 152.5, 152.5, 138.5, 138.5, 14.5, 14.5, 0.5, 0.5, 7.0, 7.0, H
291.0, 291.0, 152.5, 152.5, 138.5, 138.5, 14.5, 14.5, 0.5, 0.5, 7.0, 7.0, 287.5, 287.5, 119.0, 119.0, 168.5, 168.5, 18.5, 18.5, 0.5, 0.5, 5.0, 5.0, A
370.0, 370.0, 292.0, 292.0, 78.0, 78.0, 23.0, 23.0, 1.0, 1.0, 3.5, 3.5, 326.0, 326.0, 216.5, 216.5, 109.5, 109.5, 21.0, 21.0, 1.0, 1.0, 3.5, 3.5, H
326.0, 326.0, 216.5, 216.5, 109.5, 109.5, 21.0, 21.0, 1.0, 1.0, 3.5, 3.5, 370.0, 370.0, 292.0, 292.0, 78.0, 78.0, 23.0, 23.0, 1.0, 1.0, 3.5, 3.5, A
