Team: SD
Year: 2009
Week: 11, 282,214,68,13,1,6,1345,KC
Week: 12, 284,170,114,16,4,4,1480,SD
Week: 13, 222,128,94,14,3,7,1445,DEN
Week: 14, 354,202,152,16,4,5,1766,BUF
Week: 15, 491,323,168,22,1,6,1535,CLE
Week: 16, 295,172,123,17,2,6,1568,CIN
Week: 17, 524,207,317,22,2,3,1617,KC
Year: 2010
Week: 1, 197,62,135,9,0,9,1352,KC
Week: 2, 312,172,140,16,2,6,1993,KC
Week: 3, 457,250,207,21,1,4,2030,KC
Week: 4, 
Week: 5, 261,148,113,16,1,4,1535,IND
Week: 6, 417,189,228,25,0,4,2008,HOU
Week: 7, 426,190,236,25,0,3,2040,KC
Week: 8, 414,140,274,24,0,6,2138,KC
Week: 9, 304,200,104,21,2,9,1990,OAK
Week: 10, 484,433,51,30,1,3,1911,DEN
Week: 11, 352,193,159,17,0,5,1658,KC
Week: 12, 503,233,270,28,1,5,2463,KC
Week: 13, 359,174,185,21,1,7,2234,KC
Week: 14, 67,19,48,5,0,8,1190,SD
Week: 15, 383,173,210,21,1,6,1904,KC
Week: 16, 458,306,152,23,2,5,2344,KC
Week: 17, 201,86,115,17,2,6,1592,OAK
Year: 2011
Week: 1, 213,105,108,13,3,8,1378,BUF
Week: 2, 267,116,151,12,6,5,1656,DET
Week: 3, 252,171,81,13,1,4,1517,SD
Week: 4, 350,247,103,15,0,3,1670,KC
Week: 5, 436,242,194,26,0,6,1987,KC
Week: 6, 
Week: 7, 300,161,139,22,2,7,2017,KC
Week: 8, 341,247,94,19,4,5,1935,KC
Week: 9, 343,227,116,20,0,5,2079,MIA
Week: 10, 258,124,134,17,0,7,1582,DEN
Week: 11, 334,215,119,16,3,5,1890,NE
Week: 12, 252,162,90,15,4,3,1590,PIT
Week: 13, 252,139,113,13,1,11,1962,KC
Week: 14, 221,156,65,13,1,7,1338,NYJ
Week: 15, 438,299,139,23,0,2,2171,KC
Week: 16, 435,300,135,26,2,3,1959,OAK
Week: 17, 281,175,106,14,1,8,1622,KC
Year: 2012
Week: 1, 393,241,152,22,3,1,1915,ATL
Week: 2, 422,272,150,25,3,7,1839,BUF
Week: 3, 510,237,273,27,3,5,2552,KC
Week: 4, 353,234,119,25,6,4,1568,SD
Week: 5, 338,124,214,19,4,5,2050,BAL
Week: 6, 260,180,80,15,2,6,1991,TB
Week: 7, 
Week: 8, 299,197,102,17,4,5,1862,OAK
Week: 9, 289,176,113,21,4,1,1891,SD
Week: 10, 290,148,142,14,1,8,1758,PIT
Week: 11, 284,171,113,16,1,7,1478,CIN
Week: 12, 264,116,148,13,1,6,1903,DEN
Week: 13, 355,197,158,23,0,3,2233,KC
Week: 14, 310,130,180,12,1,7,1591,CLE
Week: 15, 119,109,10,7,1,7,1194,OAK
Week: 16, 507,155,352,22,3,3,1940,IND
Week: 17, 119,26,93,8,0,8,1350,DEN
Year: 2013
Week: 1, 291,171,120,17,0,10,1890,KC
Week: 2, 313,199,114,19,0,7,1693,KC
Week: 3, 395,248,147,19,0,5,2347,KC
Week: 4, 390,288,102,21,3,5,2156,KC
Week: 5, 353,233,120,20,2,6,1877,KC
Week: 6, 216,105,111,16,1,8,1560,KC
Week: 7, 357,231,126,20,2,4,1932,KC
Week: 8, 331,195,136,20,0,5,2165,KC
Week: 9, 210,115,95,15,0,6,1786,KC
Week: 10, 
Week: 11, 344,200,144,24,1,7,1807,DEN
Week: 12, 395,281,114,26,2,4,1743,SD
Week: 13, 452,293,159,27,1,5,1916,DEN
Week: 14, 347,154,193,20,1,3,2050,KC
Week: 15, 384,306,78,19,1,4,1553,KC
Week: 16, 287,132,155,18,4,5,1300,IND
Week: 17, 332,189,143,22,0,5,2076,SD
Year: 2014
Week: 1, 245,178,67,15,3,5,1336,TEN
Week: 2, 380,247,133,28,0,2,2174,DEN
Week: 3, 342,168,174,23,2,5,2022,KC
Week: 4, 443,236,207,26,0,4,2187,KC
Week: 5, 265,175,90,14,1,4,1436,SF
Week: 6, 
Week: 7, 365,211,154,22,0,4,2340,KC
Week: 8, 361,218,143,23,1,4,2138,KC
Week: 9, 309,196,113,23,0,4,1705,KC
Week: 10, 278,151,127,16,1,8,1758,KC
Week: 11, 298,108,190,20,2,2,1443,KC
Week: 12, 312,216,96,16,0,7,1795,OAK
Week: 13, 151,110,41,11,3,5,1273,DEN
Week: 14, 390,264,126,19,2,4,1799,ARI
Week: 15, 388,295,93,16,1,7,1712,KC
Week: 16, 327,288,39,22,1,1,1867,PIT
Week: 17, 251,140,111,15,0,5,1719,KC
Team: DEN
Year: 2009
Week: 1, 302,227,75,10,0,8,1593,DEN
Week: 2, 449,263,186,25,1,2,1964,DEN
Week: 3, 372,157,215,21,1,2,2175,DEN
Week: 4, 337,221,116,18,1,6,1613,DEN
Week: 5, 424,321,103,27,2,5,2189,DEN
Week: 6, 328,227,101,19,0,4,1843,DEN
Week: 7, 
Week: 8, 200,134,66,17,1,8,1583,BAL
Week: 9, 242,215,27,12,3,7,1617,PIT
Week: 10, 305,185,120,14,2,4,1457,WAS
Week: 11, 271,156,115,14,3,3,1328,SD
Week: 12, 373,235,138,23,1,3,2130,DEN
Week: 13, 413,168,245,24,3,3,2155,DEN
Week: 14, 357,262,95,20,1,4,1887,IND
Week: 15, 337,257,80,19,0,6,1714,OAK
Week: 16, 241,171,70,13,1,7,1757,PHI
Week: 17, 512,428,84,30,3,6,1983,KC
Year: 2010
Week: 1, 363,274,89,21,2,4,1830,JAC
Week: 2, 369,304,65,23,0,4,2247,DEN
Week: 3, 519,472,47,23,2,3,1792,IND
Week: 4, 327,308,19,22,1,5,2118,DEN
Week: 5, 346,307,39,16,1,7,1423,BAL
Week: 6, 346,201,145,21,2,6,1823,NYJ
Week: 7, 240,165,75,11,3,7,1281,OAK
Week: 8, 398,339,59,22,2,7,1586,SF
Week: 9, 
Week: 10, 452,299,153,25,0,2,1689,DEN
Week: 11, 235,172,63,16,1,9,1541,SD
Week: 12, 449,330,119,24,2,4,1543,STL
Week: 13, 247,86,161,13,1,7,1366,KC
Week: 14, 288,156,132,20,6,5,1779,ARI
Week: 15, 235,129,106,9,1,7,1563,OAK
Week: 16, 431,305,126,25,1,4,1910,DEN
Week: 17, 337,191,146,18,2,5,1538,SD
Year: 2011
Week: 1, 310,272,38,25,3,4,1645,OAK
Week: 2, 318,187,131,19,2,6,1815,DEN
Week: 3, 231,172,59,19,2,5,1746,TEN
Week: 4, 384,265,119,18,4,2,1619,GB
Week: 5, 275,113,162,13,1,6,1192,SD
Week: 6, 
Week: 7, 308,125,183,18,1,9,2057,DEN
Week: 8, 312,117,195,19,3,7,1826,DET
Week: 9, 412,113,299,20,0,5,1911,DEN
Week: 10, 313,69,244,16,0,7,2018,DEN
Week: 11, 229,104,125,11,1,8,1668,DEN
Week: 12, 349,141,208,18,0,9,2228,DEN
Week: 13, 336,186,150,13,2,6,1329,DEN
Week: 14, 345,221,124,20,2,8,2079,DEN
Week: 15, 393,141,252,23,3,3,1579,NE
Week: 16, 293,160,133,18,4,7,1831,BUF
Week: 17, 266,50,216,16,2,9,1978,KC
Year: 2012
Week: 1, 334,240,94,20,1,2,1495,DEN
Week: 2, 336,218,118,24,4,5,1640,ATL
Week: 3, 375,316,59,24,1,8,1700,HOU
Week: 4, 503,338,165,26,1,0,2245,DEN
Week: 5, 402,332,70,22,3,3,1451,NE
Week: 6, 366,309,57,18,3,5,1585,DEN
Week: 7, 
Week: 8, 530,305,225,29,1,5,2114,DEN
Week: 9, 359,291,68,20,2,3,1837,DEN
Week: 10, 360,295,65,18,2,6,1706,DEN
Week: 11, 386,253,133,21,2,5,1722,DEN
Week: 12, 368,273,95,21,1,4,1697,DEN
Week: 13, 333,242,91,25,1,5,2007,DEN
Week: 14, 428,288,140,30,1,2,2239,DEN
Week: 15, 350,187,163,21,0,8,2314,DEN
Week: 16, 457,339,118,29,1,3,2020,DEN
Week: 17, 488,316,172,32,1,3,2250,DEN
Year: 2013
Week: 1, 510,445,65,24,2,7,1572,DEN
Week: 2, 416,307,109,23,1,5,1682,DEN
Week: 3, 534,372,162,31,2,1,2124,DEN
Week: 4, 472,331,141,35,0,2,2002,DEN
Week: 5, 517,414,103,34,2,0,1954,DEN
Week: 6, 407,295,112,26,3,3,1725,DEN
Week: 7, 429,365,64,23,3,7,1693,IND
Week: 8, 446,339,107,29,4,3,1920,DEN
Week: 9, 
Week: 10, 397,313,84,22,1,5,1317,DEN
Week: 11, 427,323,104,24,1,6,1793,DEN
Week: 12, 412,132,280,28,4,8,2338,NE
Week: 13, 535,403,132,25,2,3,1684,DEN
Week: 14, 551,397,154,39,0,2,2360,DEN
Week: 15, 295,277,18,19,1,4,1271,SD
Week: 16, 511,397,114,25,0,6,1733,DEN
Week: 17, 458,334,124,28,0,4,2129,DEN
Year: 2014
Week: 1, 361,259,102,24,0,5,1944,DEN
Week: 2, 325,237,88,19,0,3,1426,DEN
Week: 3, 332,296,36,20,2,8,1662,SEA
Week: 4, 
Week: 5, 568,476,92,24,2,4,2117,DEN
Week: 6, 359,221,138,21,0,8,2014,DEN
Week: 7, 419,304,115,23,0,4,1679,DEN
Week: 8, 425,286,139,27,0,4,1846,DEN
Week: 9, 472,429,43,26,2,3,1833,NE
Week: 10, 471,353,118,25,2,5,1942,DEN
Week: 11, 397,369,28,21,2,5,1450,STL
Week: 12, 450,249,201,29,1,1,2057,DEN
Week: 13, 388,174,214,21,1,4,2327,DEN
Week: 14, 306,173,133,15,3,3,1591,DEN
Week: 15, 337,226,111,18,0,3,1964,DEN
Week: 16, 385,300,85,22,4,6,1702,CIN
Week: 17, 451,309,142,25,1,3,1981,DEN
Team: OAK
Year: 2009
Week: 1, 366,218,148,19,3,4,1897,SD
Week: 2, 166,99,67,11,0,7,1281,OAK
Week: 3, 137,42,95,9,3,4,1425,DEN
Week: 4, 165,120,45,8,3,8,1547,HOU
Week: 5, 124,64,60,7,3,7,1436,NYG
Week: 6, 325,209,116,18,2,7,1982,OAK
Week: 7, 263,144,119,13,4,5,1443,NYJ
Week: 8, 180,81,99,13,1,4,1771,SD
Week: 9, 
Week: 10, 272,90,182,11,2,11,1866,KC
Week: 11, 275,183,92,16,3,4,1296,OAK
Week: 12, 305,181,124,14,1,9,1726,DAL
Week: 13, 396,287,109,19,0,6,1969,OAK
Week: 14, 227,162,65,15,1,6,1927,WAS
Week: 15, 343,102,241,22,2,4,1886,OAK
Week: 16, 389,301,88,19,3,5,1778,CLE
Week: 17, 325,274,51,20,2,5,1934,BAL
Year: 2010
Week: 1, 286,151,135,21,2,4,1736,TEN
Week: 2, 404,231,173,25,2,3,2209,OAK
Week: 3, 364,231,133,20,1,5,1978,ARI
Week: 4, 363,245,118,24,3,5,1831,HOU
Week: 5, 279,168,111,14,0,4,1634,OAK
Week: 6, 179,69,110,10,2,6,1599,SF
Week: 7, 508,180,328,29,0,4,2319,OAK
Week: 8, 545,306,239,18,0,5,2164,OAK
Week: 9, 321,209,112,17,3,6,1783,OAK
Week: 10, 
Week: 11, 182,121,61,17,3,8,1633,PIT
Week: 12, 263,247,16,11,3,4,1102,MIA
Week: 13, 368,117,251,22,1,4,2319,OAK
Week: 14, 476,323,153,21,2,5,1805,JAC
Week: 15, 502,238,264,20,3,4,2037,OAK
Week: 16, 290,210,80,16,0,6,1801,IND
Week: 17, 344,135,209,21,1,5,2008,OAK
Year: 2011
Week: 1, 289,99,190,20,1,6,1955,OAK
Week: 2, 454,323,131,26,2,3,1753,BUF
Week: 3, 383,149,234,23,0,6,1606,OAK
Week: 4, 504,344,160,24,2,2,2000,NE
Week: 5, 278,184,94,11,1,7,1535,OAK
Week: 6, 329,178,151,18,1,4,2081,OAK
Week: 7, 322,167,155,18,6,6,1583,KC
Week: 8, 
Week: 9, 416,316,100,21,3,6,1689,DEN
Week: 10, 489,298,191,20,2,4,1957,OAK
Week: 11, 301,139,162,22,1,6,2144,OAK
Week: 12, 341,268,73,17,1,5,1802,OAK
Week: 13, 304,258,46,18,1,8,1300,MIA
Week: 14, 355,238,117,23,5,5,1880,GB
Week: 15, 477,345,132,26,1,5,1893,DET
Week: 16, 308,237,71,13,2,4,1774,OAK
Week: 17, 520,417,103,28,1,1,1773,SD
Year: 2012
Week: 1, 321,276,45,21,1,3,1766,SD
Week: 2, 396,373,23,18,1,9,1519,MIA
Week: 3, 321,202,119,20,1,3,1424,OAK
Week: 4, 237,181,56,12,0,7,1355,DEN
Week: 5, 
Week: 6, 474,325,149,22,3,5,2186,ATL
Week: 7, 351,282,69,20,3,6,1921,OAK
Week: 8, 344,209,135,15,1,6,1738,OAK
Week: 9, 424,402,22,25,3,4,1916,TB
Week: 10, 422,350,72,19,3,5,2002,BAL
Week: 11, 404,284,120,24,2,3,1884,NO
Week: 12, 218,119,99,14,2,6,1754,CIN
Week: 13, 429,344,85,25,1,5,1650,CLE
Week: 14, 324,263,61,14,2,5,1361,DEN
Week: 15, 385,182,203,21,1,4,2406,OAK
Week: 16, 189,142,47,12,1,5,1745,CAR
Week: 17, 265,150,115,17,1,6,1698,SD
Year: 2013
Week: 1, 372,201,171,20,2,2,1967,IND
Week: 2, 340,114,226,16,1,4,1908,OAK
Week: 3, 342,293,49,13,0,6,1476,DEN
Week: 4, 298,194,104,14,2,7,1942,WAS
Week: 5, 299,195,104,17,0,6,1745,OAK
Week: 6, 274,149,125,18,3,8,2040,KC
Week: 7, 
Week: 8, 278,81,197,13,3,8,1801,OAK
Week: 9, 560,350,210,29,2,7,2274,PHI
Week: 10, 213,106,107,12,2,6,1678,NYG
Week: 11, 341,176,165,12,0,11,1891,OAK
Week: 12, 353,260,93,19,2,2,1452,TEN
Week: 13, 305,255,50,16,2,5,1661,DAL
Week: 14, 383,233,150,19,1,3,1834,NYJ
Week: 15, 461,331,130,26,7,1,2047,KC
Week: 16, 265,206,59,14,2,5,1518,SD
Week: 17, 255,191,64,17,1,5,1471,DEN
Year: 2014
Week: 1, 158,133,25,11,0,9,1510,NYJ
Week: 2, 364,263,101,22,4,3,1284,HOU
Week: 3, 241,174,67,14,1,5,1705,NE
Week: 4, 317,264,53,17,4,6,1746,MIA
Week: 5, 
Week: 6, 397,283,114,18,1,4,1378,SD
Week: 7, 220,164,56,13,0,6,1383,ARI
Week: 8, 387,316,71,19,3,7,2092,CLE
Week: 9, 226,189,37,17,3,6,1494,SEA
Week: 10, 222,192,30,10,3,9,1658,DEN
Week: 11, 233,162,71,9,1,9,1514,SD
Week: 12, 351,172,179,18,1,6,1805,OAK
Week: 13, 244,183,61,17,5,8,2216,STL
Week: 14, 330,236,94,19,0,5,1975,OAK
Week: 15, 280,202,78,17,1,11,1888,KC
Week: 16, 347,207,140,18,0,6,2027,OAK
Week: 17, 199,132,67,10,2,9,1619,DEN
Team: TEN
Year: 2009
Week: 1, 320,234,86,18,2,5,1701,PIT
Week: 2, 449,209,240,19,2,5,1557,HOU
Week: 3, 286,159,127,17,4,7,1642,NYJ
Week: 4, 379,284,95,19,3,5,1553,JAC
Week: 5, 245,155,90,12,2,4,1582,IND
Week: 6, 186,-7,193,9,5,6,1260,NE
Week: 7, 
Week: 8, 430,125,305,20,0,4,2383,TEN
Week: 9, 315,163,152,14,0,5,1570,TEN
Week: 10, 378,210,168,20,1,3,1880,TEN
Week: 11, 344,116,228,22,1,4,1939,TEN
Week: 12, 532,369,163,20,1,4,1867,TEN
Week: 13, 375,233,142,24,2,2,1979,IND
Week: 14, 446,286,160,19,1,3,1683,TEN
Week: 15, 364,236,128,19,2,5,1759,TEN
Week: 16, 270,88,182,17,3,3,1253,SD
Week: 17, 304,171,133,19,2,4,1942,TEN
Year: 2010
Week: 1, 345,140,205,17,1,4,1864,TEN
Week: 2, 238,192,46,14,7,5,1580,PIT
Week: 3, 271,110,161,17,0,5,1702,TEN
