@RELATION nflpredictor

@ATTRIBUTE homeTotalYdsLast3 real
@ATTRIBUTE homeTotalYdsSeason real
@ATTRIBUTE homePassYdsLast3 real
@ATTRIBUTE homePassYdsSeason real
@ATTRIBUTE homeRushYdsLast3 real
@ATTRIBUTE homeRushYdsSeason real
@ATTRIBUTE homeFirstDownsLast3 real
@ATTRIBUTE homeFirstDownsSeaon real
@ATTRIBUTE homeTurnoversLast3 real
@ATTRIBUTE homeTurnoversSeason real
@ATTRIBUTE homePuntsLast3 real
@ATTRIBUTE homePuntsSeason real
@ATTRIBUTE homePosTimeLast3 real
@ATTRIBUTE homePosTimeSeason real
@ATTRIBUTE awayTotalYdsLast3 real
@ATTRIBUTE awayTotalYdsSeason real
@ATTRIBUTE awayPassYdsLast3 real
@ATTRIBUTE awayPassYdsSeason real
@ATTRIBUTE awayRushYdsLast3 real
@ATTRIBUTE awayRushYdsSeason real
@ATTRIBUTE awayFirstDownsLast3 real
@ATTRIBUTE awayFirstDownsSeason real
@ATTRIBUTE awayTurnoversLast3 real
@ATTRIBUTE awayTurnoversSeason real
@ATTRIBUTE awayPuntsLast3 real
@ATTRIBUTE awayPuntsSeason real
@ATTRIBUTE awayPosTimeLast3 real
@ATTRIBUTE awayPosTimeSeason real
@ATTRIBUTE winner {H,A}

@Data
246.0, 246.0, 144.5, 144.5, 101.5, 101.5, 13.5, 13.5, 1.0, 1.0, 6.0, 6.0, 1580.0, 1580.0, 268.5, 268.5, 186.0, 186.0, 82.5, 82.5, 17.0, 17.0, 0.5, 0.5, 6.0, 6.0, 1594.5, 1594.5, A
401.5, 401.5, 286.0, 286.0, 115.5, 115.5, 22.5, 22.5, 1.0, 1.0, 5.5, 5.5, 1919.5, 1919.5, 389.0, 389.0, 289.0, 289.0, 100.0, 100.0, 18.5, 18.5, 1.0, 1.0, 3.0, 3.0, 2128.5, 2128.5, A
357.0, 357.0, 203.0, 203.0, 154.0, 154.0, 21.0, 21.0, 1.5, 1.5, 3.5, 3.5, 1572.5, 1572.5, 468.0, 468.0, 323.0, 323.0, 145.0, 145.0, 25.5, 25.5, 2.0, 2.0, 2.5, 2.5, 2008.0, 2008.0, A
364.5, 364.5, 248.0, 248.0, 116.5, 116.5, 22.0, 22.0, 2.0, 2.0, 6.0, 6.0, 1738.0, 1738.0, 313.5, 313.5, 249.0, 249.0, 64.5, 64.5, 17.5, 17.5, 2.0, 2.0, 5.0, 5.0, 1878.5, 1878.5, A
358.0, 358.0, 204.5, 204.5, 153.5, 153.5, 18.0, 18.0, 1.0, 1.0, 4.5, 4.5, 2038.0, 2038.0, 384.5, 384.5, 221.5, 221.5, 163.0, 163.0, 18.5, 18.5, 2.0, 2.0, 5.0, 5.0, 1629.0, 1629.0, H
266.0, 266.0, 158.5, 158.5, 107.5, 107.5, 15.0, 15.0, 1.5, 1.5, 5.5, 5.5, 1589.0, 1589.0, 375.5, 375.5, 245.0, 245.0, 130.5, 130.5, 17.5, 17.5, 0.5, 0.5, 5.0, 5.0, 1778.5, 1778.5, A
395.5, 395.5, 330.5, 330.5, 65.0, 65.0, 19.5, 19.5, 2.0, 2.0, 3.5, 3.5, 1791.0, 1791.0, 331.0, 331.0, 163.5, 163.5, 167.5, 167.5, 21.5, 21.5, 2.5, 2.5, 3.0, 3.0, 2227.0, 2227.0, H
341.0, 341.0, 262.0, 262.0, 79.0, 79.0, 19.5, 19.5, 2.0, 2.0, 4.5, 4.5, 1792.0, 1792.0, 360.5, 360.5, 294.5, 294.5, 66.0, 66.0, 17.5, 17.5, 1.0, 1.0, 2.5, 2.5, 1464.5, 1464.5, A
420.0, 420.0, 235.5, 235.5, 184.5, 184.5, 20.5, 20.5, 2.0, 2.0, 4.0, 4.0, 1549.5, 1549.5, 304.5, 304.5, 189.5, 189.5, 115.0, 115.0, 19.0, 19.0, 4.5, 4.5, 3.0, 3.0, 1705.5, 1705.5, H
315.0, 315.0, 243.666666667, 243.666666667, 71.3333333333, 71.3333333333, 16.3333333333, 16.3333333333, 2.0, 2.0, 4.66666666667, 4.66666666667, 1860.33333333, 1860.33333333, 292.333333333, 292.333333333, 187.0, 187.0, 105.333333333, 105.333333333, 18.0, 18.0, 2.0, 2.0, 5.0, 5.0, 1814.33333333, 1814.33333333, H
